dataset,leave,standardisation,weighting,accuracy,balancedAcc,f1,mcc,meanAUROC,n11,precision,recall,sensitivity,specificity,stddev,,,leave,standardisation,weighting,accuracy,balancedAcc,f1,mcc,meanAUROC,n11,precision,recall,sensitivity,specificity
bank,FALSE,FALSE,FALSE,0.855457227,0.955850664,0.955656109,0.911716127,0.959569545,0.293117117,0.957388939,0.953929539,0.953929539,0.957771788,0,,,FALSE,FALSE,FALSE,0.810932059,0.75257771,0.714755066,0.608079832,0.811083613,1.283996016,0.751806034,0.764878364,0.764878364,0.844186894
bank,TRUE,FALSE,FALSE,0.53021978,0.895530978,0.892352395,0.883196633,0.947312693,0.629595855,0.907142857,0.865909091,0.865909091,0.972241993,0,,,,,,0.82133434,0.739163839,0.677641354,0.592781176,0.817281557,1.433019313,0.756852239,0.72478427,0.72478427,0.891819369
bank,FALSE,FALSE,FALSE,0.502747253,0.72973356,0.728140814,0.651732581,0.835096811,1.35655914,0.865384615,0.918367347,0.918367347,0.805555556,0,,,,,,,,,,,,,,,
bank,FALSE,FALSE,TRUE,0.494505495,0.712181694,0.711643908,0.568185064,0.784556468,1.91232,0.749011858,0.716446125,0.716446125,0.844362745,0,,,,,,,,,,,,,,,
blood,FALSE,FALSE,TRUE,0.933621934,0.988687783,0.989482559,0.986724265,0.993856866,0.073777778,1,0.970588235,0.970588235,1,0,,,,,,,,,,,,,,,
blood,TRUE,FALSE,FALSE,0.932178932,0.716946048,0.716411221,0.573879828,0.894091162,0.871929391,0.725409836,0.728395062,0.728395062,0.843091335,0,,,,,,,,,,,,,,,
blood,FALSE,TRUE,FALSE,0.853982301,0.868640526,0.852787361,0.792825862,0.896082676,0.916701283,0.768518519,0.892473118,0.892473118,0.981522542,0,,,,,,,,,,,,,,,
blood,FALSE,TRUE,FALSE,0.467032967,0.354747071,0.360712372,0.425685684,0.712978876,2.571926481,0.510204082,0.409836066,0.409836066,0.973303671,0,,,,,,,,,,,,,,,
breast-cancer-wisc-diag,FALSE,FALSE,FALSE,0.950937951,0.333333333,0.266666733,0,0.365338798,2.300740741,0.666666667,1,1,0,0,,,,,,,,,,,,,,,
breast-cancer-wisc-diag,FALSE,FALSE,TRUE,0.871681416,0.805259336,0.79983017,0.717057538,0.864511227,1.37015873,0.928571429,0.764705882,0.764705882,0.973684211,0,,,,,,,,,,,,,,,
breast-cancer-wisc-diag,TRUE,FALSE,FALSE,0.866666667,0.88418958,0.883367969,0.873980967,0.937500581,0.677761658,0.906392694,0.868708972,0.868708972,0.970225127,0,,,,,,,,,,,,,,,
breast-cancer-wisc-diag,FALSE,TRUE,FALSE,0.321789322,0.511685375,0.485090776,0.370564103,0.685206844,3.267775281,1,1,1,1,0,,,,,,,,,,,,,,,
breast-tissue,TRUE,FALSE,FALSE,0.894542773,0.697707522,0.583732057,0.376536761,0.686644691,1.881693811,0.530434783,0.64893617,0.64893617,0.746478873,0,,,,,,,,,,,,,,,
breast-tissue,FALSE,FALSE,FALSE,0.885714286,0.849661768,0.850870086,0.821381221,0.918210452,0.242630938,0.533333333,0.705882353,0.705882353,0.986700443,0,,,,,,,,,,,,,,,
breast-tissue,FALSE,FALSE,TRUE,0.828571429,0.6518185,0.391608392,0.320997556,0.6527201,0.852035398,0.417910448,0.368421053,0.368421053,0.935215947,0,,,,,,,,,,,,,,,
breast-tissue,FALSE,TRUE,FALSE,0.819047619,0.605244997,0.423728814,0.219882147,0.610371685,2.015714286,0.454545455,0.396825397,0.396825397,0.813664596,0,,,,,,,,,,,,,,,
cardiotocography-10clases,TRUE,FALSE,FALSE,0.933333333,0.950899644,0.950790068,0.901804777,0.988790673,0.195654344,0.952079566,0.949504058,0.949504058,0.95229523,0,,,,,,,,,,,,,,,
cardiotocography-10clases,FALSE,FALSE,FALSE,0.933333333,0.867686795,0.866922935,0.810792033,0.902203371,0.831521075,0.84375,0.870967742,0.870967742,0.989019034,0,,,,,,,,,,,,,,,
cardiotocography-10clases,FALSE,FALSE,TRUE,0.911111111,0.989494196,0.987530593,0.985185895,0.991322394,0.089427609,0.928571429,1,1,0.992565056,0,,,,,,,,,,,,,,,
cardiotocography-10clases,FALSE,TRUE,FALSE,0.71875,0.970538721,0.970160693,0.966553437,0.984320952,0.184444444,0.952380952,0.909090909,0.909090909,0.993589744,0,,,,,,,,,,,,,,,
conn-bench-sonar-mines-rocks,FALSE,TRUE,FALSE,0.933333333,0.803858723,0.809129721,0.750102753,0.945349707,0.792752415,0.93877551,0.901960784,0.901960784,0.916666667,0,,,,,,,,,,,,,,,
conn-bench-sonar-mines-rocks,FALSE,TRUE,FALSE,0.703703704,0.994134897,0.9942959,0.992623899,0.997666054,0.044713805,1,1,1,1,0,,,,,,,,,,,,,,,
conn-bench-sonar-mines-rocks,FALSE,FALSE,TRUE,0.675925926,0.949053373,0.94885231,0.942829779,0.970326273,0.325772006,1,1,1,1,0,,,,,,,,,,,,,,,
conn-bench-sonar-mines-rocks,FALSE,FALSE,FALSE,0.669642857,0.933333333,0.933259177,0.900667408,0.954814815,0.442666667,0.928571429,0.866666667,0.866666667,0.966666667,0,,,,,,,,,,,,,,,
conn-bench-vowel-deterding,FALSE,FALSE,FALSE,0.861111111,0.752069451,0.733912033,0.626401231,0.806383342,1.928109966,0.704081633,0.6359447,0.6359447,0.825825826,0,,,,,,,,,,,,,,,
conn-bench-vowel-deterding,TRUE,FALSE,FALSE,0.842592593,0.370169423,0.371237563,0.425615779,0.71013138,2.580966644,0.431818182,0.387755102,0.387755102,0.972345133,0,,,,,,,,,,,,,,,
conn-bench-vowel-deterding,FALSE,FALSE,TRUE,0.696428571,NaN,0.611615803,0.775527913,0.894153086,1.117623762,1,1,1,1,0,,,,,,,,,,,,,,,
conn-bench-vowel-deterding,FALSE,FALSE,TRUE,0.693811075,NaN,0.564265536,0.613662851,0.803199088,1.8675,0.888888889,0.888888889,0.888888889,0.974358974,0,,,,,,,,,,,,,,,
ecoli,TRUE,FALSE,FALSE,0.785714286,0.550070028,0.582256675,0.517655007,0.763536368,2.49,1,0.8,0.8,1,0,,,,,,,,,,,,,,,
ecoli,FALSE,FALSE,FALSE,0.729641694,0.727052653,0.625,0.548650024,0.737092778,1.740756757,0.997942387,0.454971857,0.454971857,0.999133449,0,,,,,,,,,,,,,,,
